"X:","Y:","Z:","Roll:","Pitch:","Yaw:","Graph 0"
-0.430000,0.380000,0.760000,162.930000,65.430000,-97.990000,75.000000
-0.620000,0.540000,0.780000,176.000000,62.820000,-88.580000,0.170000
-0.810000,0.640000,0.610000,-173.870000,59.250000,-81.810000,7.000000
-0.980000,0.800000,0.480000,-166.430000,54.980000,-77.440000,2.000000
-1.170000,0.970000,0.290000,-161.120000,50.300000,-74.730000,37.000000
-1.200000,1.140000,0.000000,-157.400000,45.640000,-72.990000,0.420000
-1.070000,1.230000,-0.300000,-152.750000,41.250000,-71.730000,4.000000
-0.970000,1.230000,-0.590000,-150.810000,37.410000,-70.500000,0.830000
-0.880000,1.040000,-0.750000,-149.860000,34.000000,-68.760000,9.000000
-1.150000,0.710000,-0.930000,-150.100000,30.840000,-67.330000,28.040000
-1.270000,0.380000,-1.060000,-151.140000,27.820000,-67.000000,1.460000
-1.220000,0.090000,-1.080000,-152.560000,24.950000,-67.860000,0.210000
-1.210000,-0.060000,-1.080000,-153.920000,22.180000,-69.660000,159.770000
-1.230000,-0.010000,-1.090000,-155.120000,19.700000,-72.020000,0.390000
-1.240000,0.110000,-1.140000,-156.200000,17.880000,-74.630000,159.540000
-1.250000,0.110000,-1.000000,-157.190000,16.720000,-77.480000,7.000000
-1.300000,0.100000,-1.080000,-157.730000,16.030000,-80.920000,0.940000
-1.380000,0.090000,-0.910000,-157.790000,15.520000,-85.510000,1.020000
-1.460000,0.230000,-0.700000,-157.400000,15.060000,-91.250000,9.000000
-1.460000,0.420000,-0.620000,-156.910000,14.020000,-96.810000,-57.550000
-1.320000,0.960000,-0.610000,-156.410000,12.670000,-102.260000,9.000000
-1.110000,1.370000,-0.640000,-156.270000,10.990000,-107.600000,0.780000
-0.480000,1.640000,-0.530000,-156.570000,8.960000,-112.850000,40.000000
0.390000,1.560000,-0.460000,-156.990000,6.640000,-118.090000,1.480000
1.270000,1.260000,-0.560000,-158.230000,4.340000,-122.870000,0.270000
1.870000,0.810000,-1.000000,-160.270000,1.770000,-126.460000,0.200000
2.530000,0.380000,-1.570000,-163.120000,-0.640000,-128.300000,91.000000
3.130000,0.080000,-2.220000,-166.940000,-2.360000,-127.680000,4.000000
3.150000,-0.040000,-2.420000,-170.670000,-2.360000,-124.870000,155.110000
3.030000,0.040000,-2.540000,-174.160000,-0.180000,-121.040000,58.000000
2.650000,0.250000,-2.350000,-177.810000,3.610000,-117.350000,157.330000
1.960000,0.240000,-1.230000,179.410000,8.420000,-114.740000,152.370000
1.230000,-0.150000,0.160000,178.450000,14.690000,-114.110000,93.000000
0.600000,-0.930000,0.910000,178.440000,20.040000,-115.410000,27.800000
0.220000,-1.330000,0.650000,178.460000,23.990000,-117.220000,0.220000
-0.240000,-1.820000,0.290000,178.730000,26.090000,-118.720000,0.380000
-0.300000,-1.880000,0.180000,179.310000,26.550000,-119.380000,3.000000
-0.370000,-1.840000,0.170000,179.860000,25.120000,-118.920000,13.000000
-0.540000,-1.770000,0.230000,-179.110000,21.540000,-117.690000,4.000000
-0.450000,-1.060000,-1.560000,-177.950000,16.170000,-116.510000,171.010000
-0.250000,0.030000,-2.900000,-176.820000,11.950000,-115.910000,0.370000
-0.330000,0.920000,-2.840000,-176.290000,9.840000,-116.020000,172.340000
-0.390000,1.540000,-2.760000,-176.830000,10.350000,-116.850000,0.330000
-0.160000,1.950000,-2.650000,-178.590000,13.060000,-118.130000,5.000000
0.310000,1.890000,-1.680000,178.620000,16.830000,-119.920000,-0.220000
0.680000,1.280000,-0.250000,175.100000,20.930000,-122.480000,20.000000
0.800000,0.110000,0.610000,171.770000,25.700000,-125.530000,0.210000
0.390000,-0.880000,0.250000,168.750000,30.000000,-128.440000,4.000000
0.010000,-1.490000,-0.170000,166.990000,33.360000,-131.060000,-0.150000
-0.350000,-1.790000,-0.200000,166.290000,34.770000,-133.000000,82.000000
-0.550000,-1.630000,-0.150000,166.540000,34.190000,-134.390000,175.880000
-0.740000,-1.510000,-0.040000,167.720000,31.810000,-135.280000,3.000000
-0.720000,-1.500000,0.150000,170.310000,27.880000,-135.670000,0.210000
-0.240000,-0.800000,-0.920000,172.540000,22.210000,-135.200000,143.240000
0.340000,0.680000,-2.310000,174.020000,16.620000,-134.170000,-0.280000
0.690000,2.060000,-2.410000,174.500000,11.160000,-133.110000,72.000000
0.620000,2.690000,-2.450000,174.730000,8.570000,-132.810000,4.000000
0.570000,2.980000,-2.460000,174.760000,9.070000,-133.590000,76.000000
0.860000,2.780000,-2.450000,173.420000,11.910000,-135.450000,37.000000
0.890000,2.340000,-1.740000,170.840000,16.050000,-138.180000,5.000000
0.600000,1.610000,-0.080000,167.490000,20.890000,-140.840000,0.280000
-0.090000,0.260000,0.380000,165.010000,27.410000,-143.280000,23.000000
-1.080000,-0.810000,-0.040000,162.860000,33.670000,-145.640000,-0.800000
-1.090000,-0.970000,-0.210000,161.520000,36.250000,-147.650000,0.470000
-1.110000,-1.190000,-0.190000,161.180000,35.060000,-148.860000,-39.090000
-1.010000,-1.200000,-0.170000,161.770000,31.540000,-149.360000,1.060000
-0.900000,-1.000000,0.100000,163.970000,27.490000,-149.930000,0.000000
